sheet,corolla_id,organ_length_mm,organ_skeleton_mm,organ_width_mm,has_organ
kozu1,1,12.64,27.32,0.54,1
kozu1,2,15.93,40.26,0.46,1
kozu1,3,10.64,29.63,0.44,1
kozu1,4,11.03,23.96,0.53,1
kozu1,5,11.63,25.91,0.57,1
kozu1,6,14.51,31.9,0.57,1
kozu1,7,12.87,33.8,0.47,1
kozu1,8,14.65,31.14,0.54,1
kozu1,9,14.91,37.68,0.44,1
kozu1,10,12.72,54.58,0.28,1
kozu2,1,16.84,56.12,0.35,1
kozu2,2,16.68,37.66,0.56,1
kozu2,3,15.08,31.14,0.56,1
kozu2,4,13.09,29.07,0.53,1
kozu2,5,18.39,51.75,0.42,1
kozu2,6,17.33,45.43,0.45,1
kozu2,7,14.96,58.43,0.29,1
kozu2,8,15.0,35.22,0.53,1
kozu2,9,15.74,31.68,0.63,1
niijiama1-2,1,17.77,45.72,0.48,1
niijiama1-2,2,17.48,38.71,0.52,1
niijiama1-2,3,17.92,40.12,0.5,1
niijiama1-2,4,15.17,41.97,0.41,1
niijiama1-2,5,18.37,52.52,0.4,1
niijiama1-2,6,19.39,48.49,0.47,1
niijiama1-2,7,18.16,38.64,0.52,1
niijiama1-2,8,17.8,45.03,0.44,1
niijiama1-2,9,16.13,40.73,0.49,1
niijiama1-2,10,19.95,56.27,0.4,1
niijiama1-2,11,16.47,53.49,0.35,1
niijiama1-2,12,15.26,30.69,0.57,1
niijiama1-2,13,15.97,41.95,0.44,1
niijiama1-2,14,17.89,53.79,0.4,1
niijiama1-2,15,16.33,46.07,0.43,1
niijiama1-2,16,15.93,49.69,0.37,1
niijiama1-2,17,16.9,50.78,0.38,1
niijiama2-4,1,8.15,16.06,0.52,1
niijiama2-4,2,12.89,28.99,0.46,1
niijiama2-4,3,13.28,28.83,0.48,1
niijiama2-4,4,16.26,45.5,0.42,1
niijiama2-4,5,16.04,39.34,0.47,1
niijiama2-4,6,15.7,46.0,0.38,1
niijiama2-4,7,15.17,50.24,0.31,1
niijima2,1,18.51,66.79,0.33,1
niijima2,2,19.37,45.7,0.55,1
niijima2,3,16.55,39.58,0.5,1
niijima2,4,19.04,56.29,0.4,1
niijima2,5,17.94,41.07,0.55,1
niijima2,6a,18.06,60.86,0.34,1
niijima2,6b,19.25,75.55,0.31,1
niijima2,7,18.8,49.79,0.47,1
niijima2,8,18.81,71.11,0.31,1
niijima2,9a,18.57,43.62,0.51,1
niijima2,9b,15.23,46.59,0.4,1
niijima2,10,17.21,54.1,0.39,1
niijima2,11,17.5,56.37,0.38,1
niijima2,12,14.93,40.03,0.43,1
niijima2,13,16.74,41.86,0.48,1
niijima2,14,17.72,42.36,0.5,1
niijima2,15,15.56,44.55,0.42,1
oshima1(2),1,22.8,102.01,0.32,1
oshima1(2),2,26.04,94.84,0.37,1
oshima1(2),3,29.41,85.12,0.48,1
oshima1(2),4,29.05,94.81,0.4,1
oshima1(2),5,20.91,57.71,0.47,1
oshima1,1,29.46,130.37,0.33,1
oshima1,2,28.83,73.8,0.52,1
oshima1,3,28.97,80.27,0.52,1
oshima1,4,29.57,34.03,1.17,1
oshima10-13,1,20.54,43.76,0.66,1
oshima10-13,2,21.17,23.34,1.26,1
oshima10-13,3,23.16,48.67,0.65,1
oshima10-13,4,23.46,24.22,1.11,1
oshima10-13,5,21.85,25.89,0.97,1
oshima10-13,6,22.87,26.1,1.01,1
oshima10-13,7,21.17,51.29,0.56,1
oshima10-13,8,14.74,26.88,0.83,1
oshima10-13,9,13.82,26.81,0.67,1
oshima10-13,10,18.51,45.7,0.53,1
oshima10-13,11,21.21,50.5,0.56,1
oshima10-13,12,27.59,59.19,0.56,1
oshima10-13,13,25.77,46.42,0.71,1
oshima10-13,14,22.11,53.71,0.47,1
oshima10-13,15,23.84,56.68,0.58,1
oshima10-13,16,20.67,50.71,0.55,1
oshima10-13,17,22.53,64.26,0.48,1
oshima10-13,18,23.12,49.68,0.6,1
oshima13-15,1,20.35,52.21,0.54,1
oshima13-15,2,26.36,74.24,0.47,1
oshima13-15,3,19.57,73.06,0.38,1
oshima13-15,4,24.14,77.58,0.47,1
oshima13-15,5,22.16,83.15,0.35,1
oshima13-15,6,28.7,126.98,0.28,1
oshima13-15,7,26.08,105.98,0.35,1
oshima13-15,8,28.47,111.28,0.34,1
oshima13-15,9,28.07,77.87,0.44,1
oshima13-15,10,24.4,115.39,0.27,1
oshima13-15,11,26.6,44.97,0.71,1
oshima13-15,12,24.45,74.38,0.42,1
oshima13-15,13,27.5,68.72,0.51,1
oshima4,1,26.27,60.39,0.64,1
oshima4,2,21.9,94.05,0.31,1
oshima4,3,23.37,52.12,0.62,1
oshima4,4,20.46,84.99,0.34,1
oshima4,5,22.11,90.35,0.34,1
oshima4,6,22.42,102.09,0.31,1
oshima4,7,22.15,52.15,0.62,1
oshima4,8a,20.58,24.85,1.0,1
oshima4,8b,22.19,98.99,0.31,1
oshima5,1,23.8,53.21,0.62,1
oshima5,2,21.95,55.19,0.58,1
oshima5,3,25.18,30.43,1.06,1
oshima5,4,21.14,53.56,0.57,1
oshima5,5,24.82,55.84,0.6,1
oshima6,1,23.08,43.8,0.74,1
oshima6,2,21.3,67.95,0.43,1
oshima6,3,22.88,51.27,0.61,1
oshima6,4,20.26,30.79,0.85,1
oshima6,5,22.92,62.84,0.48,1
oshima6,6,18.3,85.03,0.28,1
oshima7,1,23.49,104.18,0.31,1
oshima7,2,21.25,42.23,0.69,1
oshima7,3,16.44,84.45,0.27,1
oshima7,4,13.12,57.49,0.33,1
oshima7,5,18.68,38.13,0.65,1
oshima7,6,19.9,81.8,0.33,1
oshima8-9,1,23.1,46.13,0.71,1
oshima8-9,2,21.51,22.49,1.25,1
oshima8-9,3,,,,0
oshima8-9,4,22.57,62.9,0.42,1
oshima8-9,5,19.64,43.39,0.61,1
oshima8-9,6,20.13,51.29,0.53,1
oshima8-9,7,18.6,39.41,0.56,1
oshima8-9,8,20.08,46.53,0.59,1
oshima8-9,9,22.87,55.32,0.53,1
oshima8-9,10,19.13,50.65,0.47,1
oshima8-9,11,17.3,25.62,0.85,1
oshima8-9,12,20.93,47.89,0.55,1
oshima8-9,13,22.78,45.15,0.67,1
oshima8-9,14,21.71,45.4,0.64,1
oshima8,1,20.61,50.03,0.53,1
oshima8,2,21.13,43.53,0.68,1
oshima8,3,21.52,45.87,0.65,1
oshima8,4,21.33,58.33,0.47,1
oshima8,5,23.55,46.74,0.69,1
oshima8,6,25.96,52.77,0.68,1
oshima8,7,23.78,43.38,0.73,1
oshima8,8,20.83,22.35,1.17,1
shikine1,1,,,,0
shikine1,2,15.98,33.98,0.58,1
shikine1,3,,,,0
shikine1,4,13.86,29.94,0.5,1
shikine1,5,16.78,59.52,0.34,1
shikine1,6,17.98,53.13,0.44,1
toshima1-2,1,15.38,42.83,0.52,1
toshima1-2,2,16.39,29.59,0.7,1
toshima1-2,3,19.41,41.45,0.63,1
toshima1-2,4,18.21,36.66,0.67,1
toshima1-2,5,16.3,27.59,0.74,1
toshima1-2,6,16.9,33.75,0.63,1
toshima1-2,7,18.42,45.27,0.56,1
toshima1-2,8,17.27,40.99,0.56,1
toshima1-2,9,16.33,41.62,0.53,1
toshima1-2,10,20.26,50.6,0.52,1
toshima1-2,11,18.92,40.64,0.55,1
toshima1-2,12,18.17,38.33,0.53,1
toshima1-2,13,18.31,27.18,0.86,1
toshima1-2,14,14.54,31.71,0.51,1
toshima1-2,15,20.87,50.24,0.46,1
toshima1-2,16,17.45,42.99,0.49,1
toshima1-2,17,13.33,24.23,0.65,1
toshima2-3,1,18.28,50.76,0.38,1
toshima2-3,2,19.5,54.54,0.33,1
toshima2-3,3,18.74,39.44,0.42,1
toshima2-3,4,13.58,36.15,0.34,1
toshima2-3,5,11.59,28.14,0.37,1
toshima2-3,6,21.33,61.46,0.28,1
toshima2-3,7,19.42,46.86,0.45,1
toshima2-3,8,21.03,61.8,0.33,1
toshima2-3,9,17.87,45.69,0.42,1
toshima2-3,10,16.85,40.93,0.48,1
toshima2-3,11,18.45,36.22,0.55,1
toshima2-3,12,18.31,46.75,0.4,1
toshima2-3,13,16.64,39.9,0.53,1
toshima2-3,14,15.17,53.85,0.25,1
toshima2-3,15,18.94,53.14,0.36,1
toshima2-3,16,18.68,45.86,0.52,1
toshima3-6,1,15.01,28.73,0.62,1
toshima3-6,2,15.73,40.59,0.48,1
toshima3-6,3,12.75,29.95,0.5,1
toshima3-6,4,14.55,26.77,0.68,1
toshima3-6,5,17.9,49.16,0.44,1
toshima3-6,6,14.52,34.03,0.5,1
toshima3-6,7,23.1,68.74,0.4,1
toshima3-6,8,22.45,49.43,0.57,1
toshima3-6,9,18.94,46.4,0.53,1
toshima3-6,10,17.49,48.81,0.45,1
toshima3-6,11,19.42,47.61,0.5,1
toshima3-6,12,19.93,52.23,0.49,1
toshima3-6,13,18.34,37.69,0.55,1
toshima3-6,14,18.44,39.7,0.6,1
toshima3-6,15,15.79,55.97,0.34,1
toshima6-8,1,18.05,52.59,0.42,1
toshima6-8,2,14.92,46.22,0.39,1
toshima6-8,3,20.2,78.73,0.31,1
toshima6-8,4,17.41,60.97,0.34,1
toshima6-8,5,18.38,43.17,0.51,1
toshima6-8,6,21.59,49.68,0.54,1
toshima6-8,7,20.48,59.34,0.42,1
toshima6-8,8,18.68,49.46,0.44,1
toshima6-8,9,21.52,63.13,0.4,1
toshima6-8,10,17.82,41.7,0.56,1
toshima6-8,11,18.78,47.67,0.49,1
toshima6-8,12a,16.78,38.61,0.55,1
toshima6-8,12b,21.33,67.4,0.39,1
toshima6-8,13,20.43,53.26,0.47,1
toshima6-8,14,21.27,66.66,0.37,1
toshima6-8,15,16.64,54.76,0.35,1
