island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Toshima,toshima3~6,1,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,26.974,22.124,449.828,3.617,23.271,14.891,21.358,15.487,4.74,17.645,0.2037,0.9615,1.0896,1.925,2.708,0.1341,0.6731,0.5617,3,opened_or_broad,flat_span_over_pi,0.1108,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,2,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,28.25,19.996,438.7,4.497,23.668,18.039,19.486,13.444,5.742,25.896,0.2426,1.3418,1.2146,0.789,1.31,0.1592,0.9021,0.3413,3,opened_or_broad,flat_span_over_pi,0.1319,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,3,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,22.549,16.661,297.576,4.374,18.09,15.401,16.508,12.253,4.902,18.876,0.271,1.2569,1.0959,5.328,12.168,0.194,0.9244,0.6192,4,opened_or_broad,flat_span_over_pi,0.1443,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,4,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,25.017,17.444,357.013,3.523,21.409,16.167,16.423,13.7,5.146,20.8,0.2404,1.1801,1.3036,17.367,4.777,0.1408,0.9268,0.5949,4,opened_or_broad,flat_span_over_pi,0.209,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,5,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,41.95,24.591,745.174,8.533,33.332,21.698,20.337,11.317,6.907,37.466,0.2072,1.9173,1.639,0.215,0.136,0.2034,0.8824,0.3263,4,opened_or_broad,flat_span_over_pi,0.6631,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Toshima,toshima3~6,6,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,22.549,15.061,247.175,4.446,18.018,12.253,14.806,10.636,3.9,11.948,0.2165,1.152,1.217,0.045,1.026,0.1972,0.8136,0.7601,2,opened_or_broad,flat_span_over_pi,0.0853,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,7,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,34.802,26.463,689.22,6.472,28.245,22.975,23.911,16.082,7.313,42.003,0.2589,1.4286,1.1813,8.488,9.695,0.186,0.8682,0.3832,3,opened_or_broad,flat_span_over_pi,0.1992,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,8,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,34.377,25.868,622.622,6.794,27.498,22.889,21.868,14.551,7.286,41.693,0.265,1.5731,1.2574,5.811,3.512,0.1976,0.8849,0.4363,3,opened_or_broad,flat_span_over_pi,0.2479,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,9,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,37.695,26.038,774.534,4.886,32.724,21.017,23.74,18.72,6.69,35.152,0.2044,1.1227,1.3784,1.072,1.885,0.1296,0.8072,0.4071,4,opened_or_broad,flat_span_over_pi,0.187,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,10,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,33.781,22.975,549.327,6.638,27.058,17.784,20.507,10.892,5.661,25.168,0.2092,1.6328,1.3194,0.707,0.356,0.1965,0.7741,0.4223,4,opened_or_broad,flat_span_over_pi,0.1311,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,11,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,32.335,27.059,709.659,3.88,28.369,26.038,25.102,18.039,8.288,53.951,0.2922,1.4434,1.1302,1.62,3.807,0.12,0.9623,0.4734,4,opened_or_broad,flat_span_over_pi,0.0839,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,12,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,35.568,26.123,770.211,4.268,31.215,25.017,23.996,19.401,7.963,49.802,0.2551,1.2895,1.3009,0.873,1.783,0.12,0.9577,0.4149,7,opened_or_broad,flat_span_over_pi,0.1765,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,13,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,32.59,19.571,521.299,7.718,24.787,19.145,19.145,14.38,6.094,29.169,0.2459,1.3314,1.2947,12.826,8.228,0.2368,0.9783,0.4299,4,opened_or_broad,flat_span_over_pi,0.1187,shape_end_complexity,profile_fallback,sinus,,,auto_unreviewed
Toshima,toshima3~6,14,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,27.825,18.635,424.878,3.339,24.401,16.848,17.784,14.38,5.363,22.588,0.2198,1.1716,1.3721,10.261,31.934,0.12,0.9041,0.4451,4,opened_or_broad,flat_span_over_pi,0.1018,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima3~6,15,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,29.016,23.06,505.254,5.595,23.336,22.634,20.847,14.806,7.205,40.768,0.3087,1.5287,1.1194,4.517,0.111,0.1928,0.9815,0.3999,3,opened_or_broad,flat_span_over_pi,0.3244,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
